name,red_cards
Fabricio Coloccini,2
Miranda,3
Pape Diop,2
Federico Fazio,4
Ángel Di María,3
Aleksandar Mitrović,3
Alexandre Oukidja,2
Maxime Le Marchand,2
Roberto Soriano,4
David Simão,2
Oliver Lund,2
Freek Heerkens,2
Jeffrey Bruma,2
Mustafa Akbas,3
Luca Ceppitelli,2
Stefan Savic,4
Emil Forsberg,2
Fábio Pacheco,2
Olarenwaju Kayode,4
Josué Sá,2
Lukas Spalvis,2
Ugur Ciftci,3
Corentin Tolisso,2
Pedro Bigas,2
Michael Ngadeu,2
Stijn Spierings,2
Iza Carcelén,3
Scott McKenna,2
Jonas Bager,2
Eric Bailly,2
Caglar Söyüncü,2
Mama Baldé,2
Ryan Porteous,3
Carlos Cuesta,2
Alaeddine Yahia,2
Serkan Kirintili,2
Dante,2
Nana Asare,3
Sergio Ramos,3
Mladen Bartulovic,2
José Fonte,2
Joey van den Berg,3
Caner Erkin,3
Alessandro Matri,2
Mehdi Carcela-González,2
Sven Kums,2
Paul Baysse,3
Luigi Bruins,2
Bojan Jokic,2
Diego Costa,2
Ivan Radovanovic,2
Júnior Moraes,2
Cássio,2
Nicolás Otamendi,2
Davy Pröpper,2
Aïssa Mandi,3
Sergiy Yavorskyi,2
Vedran Corluka,2
Serdar Aziz,2
Pasquale Schiattarella,2
Giorgiy Shelia,2
Artem Putivtsev,2
Souza,4
Juraj Kucka,2
Laurent Koscielny,2
Adis Jahovic,4
Allan Nyom,4
Jeison Murillo,2
Mustafa Amini,2
Willy Boly,2
Raúl Silva,2
Soualiho Meïté,3
Vladimir Darida,2
João Teixeira,2
Yunis Abdelhamid,2
Sadio Mané,2
Adrien Thomasson,2
Fejsal Mulic,2
Bersant Celina,2
Jordan Amavi,4
Anderson Esiti,2
Awer Mabil,2
Borja Iglesias,2
Christophe Diedhiou,2
Lorenzo Pellegrini,2
Wout Faes,2
Ivanildo Fernandes,2
Jason Kerr,2
Loïs Openda,3
Danylo Ignatenko,2
Axel Disasi,2
Jamie Hamilton,4
Cristiano Ronaldo,2
Vangelis Mantzios,2
Gerard Piqué,2
Javier Mascherano,3
Tiago Valente,2
Christian Kum,2
Stéphane Ruffier,2
Damien Da Silva,4
César Azpilicueta,2
Tomas Hubocan,2
Mateo Pavlovic,2
Salomón Rondón,2
Aaron Cresswell,2
Marcos Acuña,3
Adrián,2
Pablo,3
Robert Andrich,2
Anthony Briançon,3
Darren Maatsen,2
Igor Perduta,2
Ko Itakura,2
Barry Robson,2
Sandro,2
Pedro Franco,2
Liam Polworth,2
Nikolaos Karanikas,2
Erkan Kas,2
Domenico Berardi,5
Mica Pinto,3
Ygor Nogueira,2
Steven Moreira,2
Charles Dunne,3
Djené,4
Keita Baldé,2
Diego Llorente,2
Chema Rodríguez,2
Kevin Danso,2
Presnel Kimpembe,2
Moreto Cassamá,3
Giangiacomo Magnani,2
Issam Chebake,2
Cristian Tassano,2
Pierre Lees-Melou,4
Wesley Moraes,2
Luiz Felipe,4
Siemen Voet,2
Stephen Eustaquio,2
Jérémy Mathieu,2
Mauricio Pinilla,2
Cesc Fàbregas,2
Benoît Assou-Ekotto,2
Zito,2
Vyacheslav Checher,2
Rúben Fernandes,2
Armando Izzo,2
Ryan Donk,2
David Luiz,4
Jean-Armel Kana-Biyik,2
Jorge Teixeira,2
Víctor Ruiz,2
Josip Ilicic,2
Jordi Amat,4
Dedryck Boyata,3
Ognjen Vranjes,4
Tobias Figueiredo,3
Ouasim Bouy,2
Geoffrey Kondogbia,2
Álvaro Morata,3
Christophe Kerbrat,3
Valerio Verre,2
Nikolaos Papadopoulos,2
Simon Falette,2
Ante Rebic,4
Glenn Bijl,4
Irfan Can Kahveci,4
Marcus Thuram,3
Mauro Júnior,2
Tanguy Nianzou,2
Zlatan Ibrahimović,2
Boy Waterman,2
Ari,2
Iliass Bel Hassani,2
Jean-Eudes Aholou,2
John Stones,2
Gary Warren,2
Isaac Hayden,2
Matheus Pereira,3
Sofyan Amrabat,2
Giuseppe Pezzella,2
Maximiliano Caufriez,3
Maxence Lacroix,2
Ethan Erhahon,2
Alidu Seidu,2
John Terry,2
Darijo Srna,2
Vedad Ibisevic,3
Andy Considine,3
Jérôme Boateng,2
Tarantini,2
Roberto Soldado,3
Vadis Odjidja-Ofoe,2
Ugur Demirok,2
Ali Gadzhibekov,2
Mateo Kovacic,2
Kallum Higginbotham,2
Mahmut Tekdemir,2
Sofiane Feghouli,3
Alan Power,2
Jake Livermore,2
Giannis Skondras,3
Thiago Cionek,2
Rajko Rotman,2
Rubén Pérez,2
Konstantinos Laifis,2
Peter van Ooijen,2
Luis Fariña,2
Alexander Hack,2
Thiago Mendes,2
Rob Schoofs,3
Jurgen Mattheij,2
Alexander Nübel,2
Mijo Caktas,2
Riechedly Bazoer,2
Anton Shvets,2
Derrick Luckassen,4
Sam Cosgrove,2
Bakaye Dibassy,2
Mohamed Youssouf,2
Robert Mak,2
Suso,2
João Pedro,2
Vedat Muriqi,2
Gonzalo Escalante,3
Cheikh N'Doye,3
Jorge Meré,2
David Akintola,2
Nicolò Zaniolo,3
Maxi Gómez,2
Achraf Hakimi,2
Diederik Boer,2
Bruno Alves,3
Fernandinho,3
Geoff Cameron,2
Danilo,2
Ryan Bertrand,2
Giuseppe Vives,2
Mads Agesen,3
Dougie Imrie,2
Federico Piovaccari,2
